Date,Category,Net worth (% of Total),Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2001:Q4,Next 40%,35,36.9,46.6,42.3,19.1,48.4,16.9,32.4,47.8,52.3,39.7,22.2
2001:Q4,Bottom 50%,3.3,7.3,13.1,23,1.5,3.6,1.2,5.2,30.3,24,51.4,12.5
2002:Q1,Top 1%,26.7,23.6,13.2,15.7,42.7,7,51.1,31.4,5.1,5.2,0.8,27
2002:Q1,Next 9%,35.1,32.4,27.5,19.2,36.9,41.2,30.7,31.3,17,18.7,8.3,38.6
2002:Q1,Next 40%,35.1,36.9,46.6,42.3,19,48.2,17,32.2,47.5,52,39,21.9
2002:Q1,Bottom 50%,3.1,7.2,12.7,22.9,1.4,3.6,1.2,5.1,30.4,24.1,51.9,12.5
2002:Q2,Top 1%,26,22.9,13.3,14.8,41.9,6.7,48.5,31.6,5.2,5.2,1.2,30.8
2002:Q2,Next 9%,35.7,32.8,27.6,20.3,37.1,41.5,31.6,32.8,16.5,18.6,7.4,34.6
2002:Q2,Next 40%,35.1,37.1,46.4,42.4,19.6,48.2,18.4,30.7,48,52.1,39.9,21.7
2002:Q2,Bottom 50%,3.1,7.2,12.7,22.6,1.4,3.5,1.4,4.9,30.4,24.1,51.6,12.8
2002:Q3,Top 1%,25,21.9,13.2,13.6,39.7,6.3,45.6,33.1,5.5,5.3,1.7,36
2002:Q3,Next 9%,36,32.8,27.5,21.6,37.9,41.9,32.6,31.7,15.8,18.3,6.4,29.5
2002:Q3,Next 40%,35.8,37.8,46.2,42.5,21,48.3,20.1,30.4,48.5,52.4,40.7,21.4
2002:Q3,Bottom 50%,3.3,7.5,13,22.3,1.4,3.5,1.6,4.8,30.2,24,51.2,13.1
2002:Q4,Top 1%,25.5,22.3,13.4,13.7,40.7,6.2,46.9,33.4,5.5,5.3,1.7,37.8
2002:Q4,Next 9%,35.7,32.5,27.4,21.6,37.5,42.3,31.9,30.7,15.7,18.1,6.7,28.3
2002:Q4,Next 40%,35.7,37.7,46.3,42.5,20.5,48.1,19.7,31.1,48.6,52.4,40.7,21.3
2002:Q4,Bottom 50%,3.1,7.4,12.9,22.2,1.4,3.4,1.6,4.8,30.2,24.2,50.9,12.6
2003:Q1,Top 1%,25.3,22.1,13.7,13.5,40.2,6.1,46.4,33.2,5.6,5.4,1.8,37.8
2003:Q1,Next 9%,36,32.7,27.4,22,37.7,42.3,32,31.4,15.5,17.6,6.8,29.8
2003:Q1,Next 40%,35.7,37.9,46.4,42.6,20.8,48.1,20,30.7,49.4,53.7,40,20.8
2003:Q1,Bottom 50%,3.1,7.3,12.5,21.9,1.3,3.4,1.6,4.7,29.5,23.3,51.4,11.7
2003:Q2,Top 1%,26.3,22.9,13.9,14.1,42.6,6.4,48.3,32.4,5.4,5.4,1.6,27.4
2003:Q2,Next 9%,35.8,32.7,27.4,21.5,36.9,42.3,31.2,32.1,16.4,17.6,7.5,43.3
2003:Q2,Next 40%,35.1,37.3,46.6,42.5,19.3,47.9,19,30.8,49,53.6,39.4,20.4
2003:Q2,Bottom 50%,2.8,7.1,12.2,21.9,1.2,3.5,1.5,4.7,29.3,23.5,51.4,8.9
2003:Q3,Top 1%,26.5,23.1,14,14,43.6,6.3,48.7,32.1,5.4,5.3,1.6,30.9
2003:Q3,Next 9%,35.7,32.6,27.2,21.7,36.6,42.4,30.8,32.2,16.5,18.1,7.5,40.1
2003:Q3,Next 40%,35.2,37.3,46.7,42.5,18.7,47.9,19,31.1,47.8,51.7,39.5,20.2
